Participant Number,Q1_PS,Q2_NV,Q3_CLARITY,Q4_EXAMPLE,Q5_ENTHU,Q6_CONF,COMMENTS,Notes,CODER_NOTES,INT_ORGANIZATION,INT_TYPE_TECH,INT_TYPE_NOT_TECH,ORG_TYPE,INTERNSHIP/FULL TIME
P24,4,4,3,3,4,3,Suggested  he slow down his conversation. Jeris was good interview with a couple of noted issues. (1) slow down his conversation and (2) careful on the type of ideas he shares  about an area. Radial ideas can back fire. Improved resume was good.,Slow down conversation; Careful on sharing ideas,*Notes for Q3,C3_DAT,1,0,,Internship
P25,4,4,4,4,4,4,"Really good interview enjoyed conversation, Respectful, interested","Respectful, interested ",,C3_DAT,1,0,,Internship
P26,4,4,3,4,4,4,"Excellent interview! Try to slow down a bit when talking; there were a couple times that you tripped over your words but that really is the only ""negative"" about the interview and it was almost certainly just nervousness, which is entirely understandable. Good job!",Slow down speech,,C7_OPS,2,0,,Full Time
P27,3,4,3,3,4,4,Sherry had a great interview. I gave her feedback on answering question in full and to remember what the interviewer asked/what do they want to know. Overall it was a good experience and I would recommend her for internships at Ipree. Sherry did come to the interview dressed very casually. I would recommend being more professionally dressed for future interviews. I did not shared this feedback with her.,Answer questions; professional dress,,C9_FIN,0,1,,Internship
P28,4,4,4,4,3,3,"Sumit had a strong interview. I did encourage him to think about what types of internships  and full time opportunities would be of most interest to him. He shared that he was ""open"". Overall a strong interview and he presents very professionally.",Choose area of interest; presents professionally,,C9_FIN,0,1,,Internship
P29,2,3,3,3,4,4,Mahesh provided me with an updated resume which was much appreicated and an improvement from the prior copy. Unfortunately it still had several grammatical errors. I would encourage him to have a peer review it before sharing with employers. Overall it was a good interview. He did talik quite a bit but stayed on topic. He was very professional and passionate.,Grammatical errors; too much talking; professional ,,C9_FIN,0,1,,Internship
P30,4,4,4,4,4,4,"Overall great communciation skills and eye contact. Although this was just a mock interview, don't forget to shake hands and introduce yourself at the beginning :)",Eye contact; introduction in beginning,,C3_DAT,0,1,,Internship
P31,4,4,4,3,4,4,"Really great examples, maybe just work on shortening the answers. For intro or tell me a little about yourself really focus on those top bullet points or experiences. Then if someone wants to learn more they can ask those follow-up questions. Great eye contact, explanations and communication level! :)",shorten answers; allow for follow up questions,,C3_DAT,0,1,,Full Time
P32,4,3,3,4,3,3,"Be confident :) You have great experience and knowledge, be proud! Great explanations and examples, just work on speaking up a little, especially for panel style interviews.",Be confident; speak up,,C3_DAT,0,1,,Full Time
P33,4,4,4,4,4,4,Wonderful questions! Great enthusiasm and communication levels. Very personable and detailed examples given!,Asked questions; detailed examples,,C3_DAT,0,1,,Internship
P34,4,4,2,3,4,4,Speak slowly and clearly. Give specific examples and be sure to answer the question that is asked. Excellent technical skills!,Speak slow; give examples; answer questions,,C7_OPS,1,0,,Internship
P35,3,4,4,4,4,4,Be vocal when talking through technical problem solving questions. Very confident! :),Talk through problem solving,,C7_OPS,1,0,,Internship
P36,1,2,2,2,2,2,"Improvement areas: Analyze run time complexity, Translate between iterative and recursive approaches, Solidfy CS fundamentals: implementing fibonacci with recursive and non-recursive solutions",Analyze Run time complexity; translate different approaches ,,C1_WEB,1,0,,Internship
P37,1,2,1,2,2,2,"Areas to improve: Master one of the two languages: Java or C++, Try to communicate more to get on the right direction before coding, Become fluent with CS fundamental like shortest path, memory and space tradeoffs, underlying memory layouts, etc.",Master a language; communicate before coding,,C1_WEB,1,0,,Internship
P38,1,3,2,2,2,2,"Areas of improvement: Do more practice interviews, Spend some time to explain the approach before implementing it, Solidify CS fundamental: hashtable, BST",Explain approach before implementing; know hashtable and BST,,C1_WEB,1,0,,Internship
P39,3,2,3,2,3,2,"Areas of improvement: Ask for clarifying inputs before implementing, Practice more design problems: I/O disk read etc.",Ask for clarifying inputs before coding,,C1_WEB,1,0,,Internship
P40,3,3,3,NA,3,3,Great job on first question. She used a lot of time on second question. More communication on second questions would have helped to clarify how to help.,Communicate more,,C1_WEB,1,0,,Full Time
P41,2,3,3,NA,NA,NA,"Struggled with data structures and had some difficulty getting through second question without hints. Also a good number of syntax errors. Room for improvement, but strong understanding of the basic algorithms for solutions (and completed both questions).",Struggled with data structures,,C1_WEB,1,0,,Full Time
P42,2,3,3,NA,3,3,"Solved both problems, but lacked complete syntax (very close). Also had a fair bit of time chasing down an non-optimal solution (but was able to recover well). Overall a good interview.","Lacked complete syntax, non-optimal solution ",,C1_WEB,1,0,,Full Time
P43,4,4,4,4,4,4,Really smart guy - could benefit from building a full stack application and seeing the whole architecture.,Get familiar with full stack application ,,C6_MKT,1,0,,Internship
P44,4,4,4,4,4,4,Aaron just needs more knowledge - new to CS but will be great in a couple of years.,Need more CS knowledge ,,C6_MKT,1,0,,Internship
P45,4,4,4,3,4,3,"Excellent problem solving skills, but he semed to lack some practical experience building software applications.",Lacks practical experience ,,C6_MKT,1,0,,Full Time
P46,4,4,4,4,4,4,Excellent communication and story of his experience. He struggled a little on the programming exercise perhaps due to the lack of experience with higher level abstract data types.,Good communication; Lack of experience,,C6_MKT,1,0,,Internship
P47,4,4,4,4,4,3,"Great examples shared, strong customer focus and great intiaitve in improving customer experience. Opportunity to exude confidence. Prashanth has a lot of great experience to draw from. Simplify resume layout and focus on accomplishments in the various roles.",Exude confidence; nice customer driven thinking,,C8_INS,1,1,,Internship
P48,4,4,4,4,4,4,Good interview. Strong technically and could draw from his experience. Strength in soft skills/ interpersonal experience. Work to develop coding/scripting skills. Consider CISSP certification. Updated resume much improved from old.,Strong soft and tech skills; consider certification,,C8_INS,1,1,,Internship
P49,NA,4,3,3,4,3.5,"Didn't get enough technical responses because of our lack of knowledge in his areas of expertise. Spoke to quickly! Great energy, but slow down to reflect on the questions. Very good examples of your work and persevered through a question when he did have a complete answer which is okay.",Great energy; spoke too quickly; lack of technical expertise ,"*Notes for Q1, Q3",C8_INS,1,1,,Full Time
P50,4,4,4,4,4,4,Checked to be sure we got what we needed. Low key but engaging. We like Alok! Again strong both technically and from an interpersonal skills standpoint. Look into change management process/methodologies including agile processes.,Low key but engaging,"*Notes for Q4, Q5",C8_INS,1,1,,Full Time
P51,3,4,4,4,3,3,Liked that he went over his solutions with interviewers but would prefer that he communicated more while on whiteboard problems. Long silent periods while thinking of solution. Can help to think out loud.,Communicate more during whiteboard problems,,C6_MKT,1,0,,Internship
P52,4,3,4,4,4,4,Excellent interview with good confidence. Covering the whiteboard too much when solving algorithm so it was hard for interviewers to see. Very enthusiastic.,Covered whiteboard too much ,,C6_MKT,1,0,,Full Time
P53,3,4,3,NA,3,3,"Good communication while solving questions on the whiteboard. Struggled on SQL question, but mentioned he had little experience with SQL so it was ok.",Good communication on whiteboard ,,C6_MKT,1,0,,Internship
P54,3,3,3,2,3,2,Be more confident about your answers. Need some more details on past experiences. Good basic knowledge of Java but need more concrete expereiences.,Be confident; more details on concrete experiences ,,C6_MKT,1,0,,Internship
P55,3,4,4,NA,4,4,Doing very well considering experience level. Communicaiton skills good.,Good communication skills,,C6_MKT,2,0,,Internship
P56,3,4,3,NA,4,3,Brush up on data structures.Considerations of performance good but try to keep it simple sometimes.,Data structures; keep answer simple,,C6_MKT,2,0,,Internship
P57,3,4,3,NA,4,2,Figure out which way you want your career to go --> software engineering??? Be more confident! Be quicker in algorithms --> simple is often best.,Career direction; be confident,,C6_MKT,2,0,,Internship
P58,4,4,4,NA,4,4,Did well especially on stretch question on rest. ,Answer extended questions ,,C6_MKT,2,0,,Internship
P59,2,4,4,3,3,3,NA,,,C6_MKT,1,0,,Internship
P60,2,4,4,4,4,3,more work on recognizing recursion,Recognize recurison,,C6_MKT,1,0,,Full Time
P61,4,4,4,3,4,4,"A little loud, be careful about the questions you ask; think about how they'll sound on the other side of the table.",Loud; be careful with question asking,,C6_MKT,1,0,,Internship
P62,2,3,3,NA,3,2,"Listen carefully to hints, interviewers will use hints to guide you away from path paths. Small hints are not a problem but if an interviewer has to give larger hints, they will not be able to assess your abilities. You were good a communicating your thoughts before coding but once you got started coding, you stopped explaining that you were working on.",Pay attention to hints,,C1_WEB,1,0,,Full Time
P63,NA,4,4,NA,3,3,"Was able to solve the first part of the problem but not hte full problem. Reached solution just before time was up. Did not appear to be excited or enjoying the challenge. Make sure to solve the problem (and explain your solution before writing code). It is easier to follow your train of though this way. You need to communicate your approach and thoughts. Don't get tied to terms, allow variable names/terms to change as youre solution changes or else they became meaningless and hard to understand.",Enjoy the challenge; explain solution before coding,,C1_WEB,1,0,,Full Time
P64,3.5,3,2,NA,1,3,NA,,"*Notes for Q1, Q5",C1_WEB,1,0,,Full Time
P65,4,4,4,4,4,4,Candidate did very well!,,,C4_ENG,2,0,,Internship
P66,4,4,3,3,3,4,"Had a little issue with rambling, didn't sit completely still. All in all did good!",Issue with rambling,,C4_ENG,2,0,,Internship
P67,4,4,3,3,4,3,"Seemd a bit nervous, explained he is new but from our standpoint, he is very knowledgeable. Did a great job all in all!",Nervous,,C4_ENG,2,0,,Internship
P68,3,3,4,4,4,3,Brush up on basic Java. Work on eye contact.,Know java; eye contact ,,C4_ENG,2,0,,
P69,4,4,4,4,4,4,Work on the resume a bit. You did very well with the interview questions.,Answered questions,,C4_ENG,2,0,,Internship
P70,4,3,4,4,4,4,"Work on maintaining eye-contact when speaking, otherwise you did very well. I would remove your GPA from your resume.",Eye contact while speaking ,,C4_ENG,2,0,,Internship
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
